  # q-path    omega_q   gamma(q)(meV)     g(q)^2 (meV*ryd)          lambda
    1.2714    15.0434      1.1600e-04           6.4401e+03      2.5983e-03
    1.2808    15.0612      1.6000e-04           6.4653e+03      3.5755e-03
    1.2878    15.0510      1.0100e-04           6.4493e+03      2.2601e-03
    1.2949    15.0231      8.8000e-05           6.4165e+03      1.9765e-03
    1.3020    14.9828      1.4100e-04           6.3798e+03      3.1839e-03
    1.3090    14.9347      2.4100e-04           6.3504e+03      5.4771e-03
    1.3161    14.8820      3.6000e-05           6.3256e+03      8.2397e-04
    1.3231    14.8265      5.4000e-05           6.3080e+03      1.2452e-03
    1.3302    14.7692      1.4500e-04           6.2937e+03      3.3696e-03
    1.3373    14.7109      1.7600e-04           6.2825e+03      4.1225e-03
    1.3443    14.6521      1.3700e-04           6.2755e+03      3.2348e-03
    1.3514    14.5931      1.4900e-04           6.2709e+03      3.5467e-03
    1.3584    14.5341      9.4000e-05           6.2692e+03      2.2557e-03
    1.3655    14.4754      6.7000e-05           6.2662e+03      1.6209e-03
    1.3726    14.4170      1.1300e-04           6.2667e+03      2.7559e-03
    1.3796    14.3592      7.1000e-05           6.2662e+03      1.7455e-03
    1.3867    14.3021      5.7000e-05           6.2706e+03      1.4126e-03
    1.3937    14.2457      8.8000e-05           6.2737e+03      2.1981e-03
    1.4008    14.1902      1.0300e-04           6.2777e+03      2.5929e-03
    1.4079    14.1356      7.4000e-05           6.2824e+03      1.8773e-03
    1.4149    14.0821      7.9000e-05           6.2877e+03      2.0194e-03
    1.4220    14.0296      8.0000e-05           6.2934e+03      2.0603e-03
    1.4290    13.9783      6.7000e-05           6.2997e+03      1.7382e-03
    1.4361    13.9282      5.7000e-05           6.3083e+03      1.4894e-03
    1.4432    13.8794      7.1000e-05           6.3146e+03      1.8683e-03
    1.4502    13.8319      7.8000e-05           6.3238e+03      2.0666e-03
    1.4573    13.7858      8.2000e-05           6.3307e+03      2.1872e-03
    1.4643    13.7412      8.3000e-05           6.3409e+03      2.2282e-03
    1.4714    13.6979      6.2000e-05           6.3504e+03      1.6750e-03
    1.4785    13.6562      9.6000e-05           6.3607e+03      2.6094e-03
    1.4855    13.6160      9.7000e-05           6.3713e+03      2.6522e-03
    1.4926    13.5773      1.0300e-04           6.3831e+03      2.8323e-03
    1.4996    13.5402      1.0400e-04           6.3952e+03      2.8755e-03
    1.5067    13.5047      1.1200e-04           6.4062e+03      3.1130e-03
    1.5138    13.4707      1.3100e-04           6.4212e+03      3.6595e-03
    1.5208    13.4383      1.5400e-04           6.4345e+03      4.3228e-03
    1.5279    13.4075      1.5900e-04           6.4500e+03      4.4836e-03
    1.5349    13.3782      1.5300e-04           6.4634e+03      4.3334e-03
    1.5420    13.3506      1.7800e-04           6.4782e+03      5.0623e-03
    1.5491    13.3244      1.6400e-04           6.4931e+03      4.6825e-03
    1.5561    13.2999      1.1200e-04           6.5098e+03      3.2096e-03
    1.5632    13.2768      1.4500e-04           6.5256e+03      4.1698e-03
    1.5841    13.0513      6.7000e-05           6.6644e+03      1.9939e-03
    1.6051    12.8347      7.0000e-05           6.8366e+03      2.1541e-03
    1.6261    12.6287      1.8000e-05           7.0494e+03      5.7212e-04
    1.6470    12.4346      2.0000e-05           7.2987e+03      6.5569e-04
